Municipio;pop
Adamantina;33888
Adolfo;3469
Aguaí;34919
Águas da Prata;7758
Águas de Lindóia;18163
Águas de Santa Bárbara;5865
Águas de São Pedro;3043
Agudos;35828
Alambari;56
Alfredo Marcondes;3923
Altair;3994
Altinópolis;15557
Alto Alegre;4037
Alumínio;17747
Álvares Florence;3673
Álvares Machado;23714
Álvaro de Carvalho;4962
Alvinlândia;3142
Americana;229283
Américo Brasiliense;39121
Américo de Campos;5734
Amparo;68945
Analândia;4746
Andradina;55943
Angatuba;24038
Anhembi;6467
Anhumas;3919
Aparecida;3557
Aparecida d'Oeste;4192
Apiaí;24681
Araçariguama;20223
Araçatuba;188884
Araçoiaba da Serra;31373
Aramina;5433
Arandu;6154
Arapeí;2471
Araraquara;224389
Araras;128676
Arco-Íris;1832
Arealva;8127
Areias;3807
Areiópolis;10788
Ariranha;9171
Artur Nogueira;51092
Arujá;86746
Aspásia;1774
Assis;100184
Atibaia;137107
Auriflama;14429
Avaí;5223
Avanhandava;11949
Avaré;86669
Bady Bassitt;16037
Balbinos;3699
Bálsamo;846
Bananal;1056
Barão de Antonina;3328
Barbosa;7142
Bariri;3354
Barra Bonita;34971
Barra do Chapéu;547
Barra do Turvo;7676
Barretos;116973
Barrinha;31574
Barueri;259793
Bastos;20284
Batatais;59517
Bauru;360478
Bebedouro;74373
Bento de Abreu;2892
Bernardino de Campos;1078
Bertioga;6012
Bilac;7676
Birigui;11896
Biritiba-Mirim;31571
Boa Esperança do Sul;14396
Bocaina;11888
Bofete;1079
Boituva;5563
Bom Jesus dos Perdões;23399
Bom Sucesso de Itararé;3797
Borá;810
Boracéia;4662
Borborema;15183
Borebi;2524
Botucatu;13859
Bragança Paulista;16084
Braúna;5452
Brejo Alegre;2732
Brodowski;2343
Brotas;23423
Buri;19428
Buritama;16377
Buritizal;4259
Cabrália Paulista;4313
Cabreúva;47842
Caçapava;90057
Cachoeira Paulista;31825
Caconde;18786
Cafelândia;17121
Caiabu;4099
Caieiras;97763
Caiuá;5489
Cajamar;7491
Cajati;28795
Cajobi;10046
Cajuru;25206
Campina do Monte Alegre;5763
Campinas;1158944
Campo Limpo Paulista;81126
Campos do Jordão;49666
Campos Novos Paulista;476
Cananéia;12289
Canas;4929
Cândido Mota;29997
Cândido Rodrigues;2674
Canitar;4862
Capão Bonito;46303
Capela do Alto;19913
Capivari;531
Caraguatatuba;113208
Carapicuíba;39001
Cardoso;1174
Casa Branca;29236
Cássia dos Coqueiros;2518
Castilho;20191
Catanduva;116435
Catiguá;7455
Cedral;8673
Cerqueira César;18879
Cerquilho;45164
Cesário Lange;16951
Charqueada;16571
Chavantes;12201
Clementina;8087
Colina;17568
Colômbia;6037
Conchal;26881
Conchas;16966
Cordeirópolis;23732
Coroados;5802
Coronel Macedo;4864
Corumbataí;3945
Cosmópolis;68838
Cosmorama;7038
Cotia;238189
Cravinhos;33896
Cristais Paulista;8265
Cruzália;2144
Cruzeiro;79386
Cubatão;127079
Cunha;21687
Descalvado;32176
Diadema;401159
Dirce Reis;1713
Divinolândia;1094
Dobrada;871
Dois Córregos;26526
Dolcinópolis;2051
Dourado;8506
Dracena;44694
Duartina;12031
Dumont;9321
Echaporã;6235
Eldorado;15072
Elias Fausto;17048
Elisiário;3428
Embaúba;2409
Embu das Artes;264787
Embu-Guaçu;66993
Emilianópolis;3063
Engenheiro Coelho;19628
Espírito Santo do Pinhal;42461
Espírito Santo do Turvo;4685
Estiva Gerbi;10877
Estrela do Norte;2661
Estrela d'Oeste;8119
Euclides da Cunha Paulista;9523
Fartura;1557
Fernando Prestes;5567
Fernandópolis;65887
Fernão;1631
