UF,Nome,CO_UNID_GEO,TX_PART_MUL,#
SP,Adamantina,3,"0,47",47
SP,Adolfo,3,"0,47",47
SP,Aguaí,3,"0,4",40
SP,Águas da Prata,3,"0,41",41
SP,Águas de Lindóia,3,"0,53",53
SP,Águas de Santa Bárbara,3,"0,49",49
SP,Águas de São Pedro,3,"0,59",59
SP,Agudos,3,"0,47",47
SP,Alambari,3,"0,37",37
SP,Alfredo Marcondes,3,"0,36",36
SP,Altair,3,"0,4",40
SP,Altinópolis,3,"0,44",44
SP,Alto Alegre,3,"0,39",39
SP,Alumínio,3,"0,4",40
SP,Álvares Florence,3,"0,38",38
SP,Álvares Machado,3,"0,42",42
SP,Álvaro de Carvalho,3,"0,43",43
SP,Alvinlândia,3,"0,44",44
SP,Americana,3,"0,49",49
SP,Américo Brasiliense,3,"0,44",44
SP,Américo de Campos,3,"0,34",34
SP,Amparo,3,"0,52",52
SP,Analândia,3,"0,42",42
SP,Andradina,3,"0,45",45
SP,Angatuba,3,"0,37",37
SP,Anhembi,3,"0,48",48
SP,Anhumas,3,"0,35",35
SP,Aparecida,3,"0,48",48
SP,Aparecida d'Oeste,3,"0,35",35
SP,Apiaí,3,"0,39",39
SP,Araçariguama,3,"0,43",43
SP,Araçatuba,3,"0,51",51
SP,Araçoiaba da Serra,3,"0,36",36
SP,Aramina,3,"0,38",38
SP,Arandu,3,"0,44",44
SP,Arapeí,3,"0,4",40
SP,Araraquara,3,"0,48",48
SP,Araras,3,"0,45",45
SP,Arco-Íris,3,"0,27",27
SP,Arealva,3,"0,38",38
SP,Areias,3,"0,26",26
SP,Areiópolis,3,"0,44",44
SP,Ariranha,3,"0,45",45
SP,Artur Nogueira,3,"0,5",50
SP,Arujá,3,"0,46",46
SP,Aspásia,3,"0,41",41
SP,Assis,3,"0,48",48
SP,Atibaia,3,"0,49",49
SP,Auriflama,3,"0,51",51
SP,Avaí,3,"0,38",38
SP,Avanhandava,3,"0,39",39
SP,Avaré,3,"0,47",47
SP,Bady Bassitt,3,"0,45",45
SP,Balbinos,3,"0,47",47
SP,Bálsamo,3,"0,45",45
SP,Bananal,3,"0,42",42
SP,Barão de Antonina,3,"0,35",35
SP,Barbosa,3,"0,41",41
SP,Bariri,3,"0,43",43
SP,Barra Bonita,3,"0,44",44
SP,Barra do Chapéu,3,"0,33",33
SP,Barra do Turvo,3,"0,28",28
SP,Barretos,3,"0,48",48
SP,Barrinha,3,"0,4",40
SP,Barueri,3,"0,48",48
SP,Bastos,3,"0,48",48
SP,Batatais,3,"0,47",47
SP,Bauru,3,"0,5",50
SP,Bebedouro,3,"0,47",47
SP,Bento de Abreu,3,"0,41",41
SP,Bernardino de Campos,3,"0,44",44
SP,Bertioga,3,"0,53",53
SP,Bilac,3,"0,54",54
SP,Birigui,3,"0,54",54
SP,Biritiba-Mirim,3,"0,43",43
SP,Boa Esperança do Sul,3,"0,37",37
SP,Bocaina,3,"0,49",49
SP,Bofete,3,"0,3",30
SP,Boituva,3,"0,46",46
SP,Bom Jesus dos Perdões,3,"0,45",45
SP,Bom Sucesso de Itararé,3,"0,32",32
SP,Borá,3,"0,31",31
SP,Boracéia,3,"0,4",40
SP,Borborema,3,"0,48",48
SP,Borebi,3,"0,41",41
SP,Botucatu,3,"0,46",46
SP,Bragança Paulista,3,"0,47",47
SP,Braúna,3,"0,4",40
SP,Brejo Alegre,3,"0,44",44
SP,Brodowski,3,"0,48",48
SP,Brotas,3,"0,45",45
SP,Buri,3,"0,32",32
SP,Buritama,3,"0,43",43
SP,Buritizal,3,"0,31",31
SP,Cabrália Paulista,3,"0,41",41
SP,Cabreúva,3,"0,43",43
SP,Caçapava,3,"0,43",43
SP,Cachoeira Paulista,3,"0,39",39
SP,Caconde,3,"0,29",29
SP,Cafelândia,3,"0,42",42
SP,Caiabu,3,"0,3",30
SP,Caieiras,3,"0,49",49
SP,Caiuá,3,"0,31",31
SP,Cajamar,3,"0,47",47
SP,Cajati,3,"0,27",27
SP,Cajobi,3,"0,43",43
SP,Cajuru,3,"0,41",41
SP,Campina do Monte Alegre,3,"0,47",47
SP,Campinas,3,"0,51",51
SP,Campo Limpo Paulista,3,"0,46",46
SP,Campos do Jordão,3,"0,54",54
SP,Campos Novos Paulista,3,"0,3",30
SP,Cananéia,3,"0,4",40
SP,Canas,3,"0,37",37
SP,Cândido Mota,3,"0,4",40
SP,Cândido Rodrigues,3,"0,38",38
SP,Canitar,3,"0,36",36
SP,Capão Bonito,3,"0,34",34
SP,Capela do Alto,3,"0,31",31
SP,Capivari,3,"0,45",45
SP,Caraguatatuba,3,"0,49",49
SP,Carapicuíba,3,"0,48",48
SP,Cardoso,3,"0,4",40
SP,Casa Branca,3,"0,39",39
SP,Cássia dos Coqueiros,3,"0,38",38
SP,Castilho,3,"0,33",33
SP,Catanduva,3,"0,46",46
SP,Catiguá,3,"0,42",42
SP,Cedral,3,"0,38",38
SP,Cerqueira César,3,"0,41",41
SP,Cerquilho,3,"0,48",48
SP,Cesário Lange,3,"0,34",34
SP,Charqueada,3,"0,38",38
SP,Chavantes,3,"0,43",43
SP,Clementina,3,"0,48",48
SP,Colina,3,"0,43",43
SP,Colômbia,3,"0,38",38
SP,Conchal,3,"0,44",44
SP,Conchas,3,"0,46",46
SP,Cordeirópolis,3,"0,46",46
SP,Coroados,3,"0,46",46
SP,Coronel Macedo,3,"0,45",45
SP,Corumbataí,3,"0,45",45
SP,Cosmópolis,3,"0,44",44
SP,Cosmorama,3,"0,35",35
SP,Cotia,3,"0,51",51
SP,Cravinhos,3,"0,47",47
SP,Cristais Paulista,3,"0,41",41
SP,Cruzália,3,"0,47",47
SP,Cruzeiro,3,"0,44",44
SP,Cubatão,3,"0,46",46
SP,Cunha,3,"0,29",29
SP,Descalvado,3,"0,44",44
SP,Diadema,3,"0,51",51
SP,Dirce Reis,3,"0,32",32
SP,Divinolândia,3,"0,31",31
SP,Dobrada,3,"0,46",46
SP,Dois Córregos,3,"0,41",41
